SalePrice,Overall Qual,Gr Liv Area,Garage Cars,Garage Area,Total Bsmt SF,1st Flr SF,Exter Qual_TA,Year Built,Year Remod/Add,Full Bath,Kitchen Qual_TA,Foundation_PConc,TotRms AbvGrd,Mas Vnr Area,Garage Yr Blt,Fireplace Qu_Unknown,Fireplaces,BsmtFin Type 1_GLQ,Bsmt Qual_TA,Exter Qual_Gd
108000,6,1032,1.0,280.0,1032.0,1032,1,1924,1950,1,1,0,5,0.0,1995.0,1,0,0,1,0
135000,5,864,1.0,420.0,864.0,864,1,1961,2007,1,0,0,5,0.0,1962.0,0,1,0,1,0
165000,5,1020,2.0,528.0,980.0,1020,0,1964,2001,2,1,0,5,50.0,1970.0,0,1,0,1,1
415000,9,1868,3.0,1085.0,1868.0,1868,0,2005,2005,2,0,1,7,568.0,2005.0,0,1,1,0,0
160000,5,1687,2.0,572.0,747.0,1687,1,1948,1950,1,1,0,7,0.0,1966.0,0,2,0,1,0
129250,5,988,1.0,360.0,988.0,988,1,1966,1966,1,1,0,5,52.0,1974.0,1,0,0,1,0
153500,5,1074,2.0,495.0,1056.0,1074,1,1975,1975,1,1,0,6,0.0,1975.0,1,0,0,0,0
155891,5,992,1.0,319.0,381.0,992,1,1954,1954,1,1,0,6,0.0,1954.0,1,0,0,0,0
140000,7,1710,2.0,480.0,576.0,902,1,1921,1950,2,1,0,9,0.0,1990.0,1,0,0,1,0
160000,5,1009,2.0,576.0,995.0,1009,1,1977,1977,2,1,0,6,51.0,1977.0,0,1,0,1,0
146000,5,1092,0.0,0.0,1092.0,1092,1,2007,2008,1,1,1,5,0.0,1978.7689655172412,1,0,0,0,0
111000,4,948,1.0,248.0,864.0,948,1,1954,1954,1,1,1,5,132.0,1954.0,1,0,0,1,0
195000,7,1948,2.0,434.0,847.0,847,0,2004,2005,2,0,1,8,0.0,2004.0,0,1,0,0,1
274000,8,1518,2.0,588.0,1518.0,1518,0,2003,2004,1,0,1,6,472.0,2003.0,0,1,1,0,0
172785,6,1456,2.0,429.0,728.0,728,0,2006,2006,2,1,1,8,0.0,2006.0,1,0,0,0,1
137500,5,1513,1.0,180.0,939.0,939,1,1920,2004,1,1,0,8,0.0,1933.0,1,0,0,1,0
185000,6,1262,2.0,572.0,1262.0,1262,0,2006,2006,2,0,1,5,68.0,2006.0,1,0,1,0,1
72000,5,819,0.0,0.0,610.0,819,1,1919,1950,1,0,0,4,0.0,1978.7689655172412,1,0,0,1,0
219500,7,1740,1.0,240.0,800.0,960,1,1940,1984,1,1,0,6,0.0,1940.0,0,2,0,1,0
270000,8,2687,2.0,618.0,2062.0,2079,0,1994,1994,2,0,1,9,0.0,1994.0,1,0,0,0,1
189500,7,1630,2.0,436.0,868.0,868,0,2004,2005,2,0,1,7,200.0,2004.0,0,1,0,0,1
157500,6,1388,1.0,317.0,675.0,686,1,1977,1977,1,1,0,6,62.0,1977.0,1,0,1,0,0
237000,8,1498,3.0,844.0,1498.0,1498,0,2005,2006,2,0,1,7,76.0,2005.0,0,1,1,0,1
149000,6,1930,1.0,316.0,720.0,1146,1,1927,1950,2,1,0,8,0.0,1927.0,1,0,0,1,0
160000,5,1928,0.0,0.0,686.0,948,1,1916,1995,2,1,1,10,0.0,1978.7689655172412,1,0,0,1,0
160000,5,1126,2.0,484.0,1126.0,1126,1,1977,1977,2,1,0,5,0.0,1977.0,0,1,0,1,0
281500,8,1818,3.0,774.0,895.0,895,0,2007,2007,2,0,1,8,246.0,2007.0,0,1,1,0,1
215000,6,1656,2.0,528.0,1080.0,1656,1,1960,1960,1,1,0,7,112.0,1960.0,0,2,0,1,0
177000,6,1573,2.0,440.0,756.0,769,0,2000,2000,2,0,1,4,216.0,2000.0,1,0,1,0,1
173500,5,1430,2.0,624.0,1430.0,1430,1,2004,2005,2,0,1,7,0.0,2004.0,1,0,0,0,0
215000,8,1911,2.0,471.0,777.0,1065,0,1993,1994,2,0,1,8,125.0,1993.0,0,1,1,0,1
123000,5,1092,1.0,264.0,1092.0,1092,1,1966,1966,1,1,0,6,0.0,1966.0,1,0,0,1,0
128000,6,1266,1.0,283.0,630.0,630,1,1980,1980,1,1,0,5,0.0,1980.0,0,2,0,1,0
174850,6,1721,2.0,464.0,1331.0,1721,1,1957,1969,1,1,0,8,289.0,1957.0,0,3,0,1,0
235000,7,1823,2.0,626.0,928.0,928,0,2000,2001,2,0,1,6,0.0,2000.0,1,0,1,0,1
82375,3,1344,0.0,0.0,536.0,808,0,1915,1950,2,1,1,8,0.0,1978.7689655172412,1,0,0,1,0
410000,9,3078,3.0,806.0,1408.0,1671,0,1998,1998,2,0,1,9,422.0,1998.0,0,1,1,0,1
123900,6,1045,2.0,462.0,516.0,529,1,1980,1980,1,1,0,5,0.0,1980.0,0,1,1,0,0
386250,10,2392,3.0,968.0,2392.0,2392,0,2003,2003,2,0,1,8,922.0,2003.0,0,1,1,0,0
236500,8,1788,2.0,522.0,1753.0,1788,0,2001,2001,2,0,1,7,0.0,2001.0,0,1,0,0,1
383000,9,1950,3.0,706.0,1950.0,1950,0,2007,2007,2,0,1,7,480.0,2007.0,0,1,1,0,0
128500,6,1133,2.0,900.0,795.0,765,1,1950,1950,1,1,0,5,0.0,1989.0,1,0,0,1,0
156000,5,1728,1.0,371.0,1216.0,1216,1,1953,2004,1,1,0,7,0.0,1953.0,0,1,0,1,0
139000,5,1044,2.0,372.0,912.0,1044,1,1968,1968,1,1,0,5,0.0,1990.0,0,1,0,1,0
157000,6,1253,1.0,352.0,1253.0,1253,1,1960,1960,1,1,0,5,212.0,1960.0,0,1,0,1,0
301000,8,2048,2.0,552.0,1054.0,1072,0,2003,2004,2,0,1,8,0.0,2003.0,0,2,1,0,1
211000,6,1796,2.0,546.0,794.0,882,1,1998,1998,2,1,1,7,0.0,1998.0,1,0,1,0,0
141000,5,1800,0.0,0.0,1800.0,1800,1,1961,1961,2,1,0,10,0.0,1978.7689655172412,1,0,0,1,0
115000,5,864,2.0,572.0,864.0,864,1,1955,1990,1,1,0,5,0.0,1957.0,1,0,0,1,0
245700,7,1614,3.0,878.0,1614.0,1614,0,2005,2006,2,0,1,7,210.0,2005.0,1,0,1,0,1
131500,5,1795,1.0,352.0,1050.0,1050,1,1954,1954,2,1,0,7,335.0,1954.0,1,0,0,1,0
181000,6,1586,2.0,435.0,1362.0,1586,1,1979,1998,2,1,0,7,0.0,1979.0,0,1,0,0,0
161000,6,2180,2.0,720.0,1138.0,1138,1,1915,1950,1,1,0,7,0.0,2006.0,0,1,0,1,0
86000,4,605,0.0,0.0,528.0,605,1,1920,2002,1,1,0,5,0.0,1978.7689655172412,1,0,0,1,0
197000,7,1909,2.0,529.0,872.0,872,0,2002,2002,2,0,1,8,0.0,2002.0,1,0,0,0,1
189000,7,1456,2.0,410.0,728.0,728,0,2005,2005,2,0,1,7,0.0,2005.0,0,1,1,0,1
227000,8,1588,3.0,825.0,1588.0,1588,0,2006,2006,2,0,1,7,410.0,2006.0,0,1,0,0,1
136000,6,2526,1.0,216.0,714.0,1664,1,1916,1950,2,0,0,10,0.0,1916.0,0,1,0,1,0
127000,5,1252,2.0,576.0,504.0,936,1,1908,1991,1,1,1,5,0.0,1986.0,1,0,0,0,0
115000,6,1639,1.0,240.0,1064.0,1166,1,1936,1950,1,1,0,6,0.0,1936.0,1,0,0,1,0
162500,8,1191,2.0,531.0,1191.0,1191,0,1989,1989,2,0,0,5,0.0,1989.0,0,1,1,0,1
220000,8,1358,2.0,418.0,1348.0,1358,0,2002,2002,1,0,1,5,0.0,2002.0,0,1,1,0,1
98000,6,1092,0.0,0.0,546.0,546,1,1970,2007,2,1,0,6,0.0,1978.7689655172412,1,0,1,1,0
279000,8,1914,3.0,746.0,1420.0,1426,0,2004,2004,2,0,1,9,112.0,2004.0,0,1,1,0,1
127500,6,980,0.0,0.0,945.0,980,1,1975,1975,2,1,0,4,250.0,1978.7689655172412,1,0,1,0,0
189500,6,1608,2.0,470.0,945.0,945,1,1997,1997,2,1,1,7,0.0,1997.0,0,1,0,0,0
156000,5,1073,2.0,515.0,1073.0,1073,1,1965,1965,1,1,0,6,168.0,1965.0,1,0,0,1,0
147000,6,996,2.0,564.0,936.0,996,1,1992,1992,1,0,1,5,0.0,1992.0,1,0,1,0,0
159500,6,1194,2.0,539.0,655.0,1194,1,1959,1959,1,1,0,6,0.0,1954.0,0,1,0,1,0
175000,6,1691,2.0,550.0,1680.0,1691,0,1967,1967,1,1,0,5,0.0,1967.0,1,0,0,1,1
102000,6,986,1.0,180.0,960.0,986,1,1926,1950,1,1,0,5,0.0,1926.0,0,1,0,1,0
243000,6,2158,2.0,576.0,1202.0,2158,1,1950,2001,2,0,0,7,0.0,1950.0,0,1,0,1,0
250000,8,2064,2.0,527.0,1074.0,1074,0,2005,2005,2,0,1,7,216.0,2005.0,0,1,0,0,1
163000,6,1680,2.0,474.0,886.0,886,0,1993,1994,2,0,1,7,120.0,1993.0,1,0,1,0,1
212109,5,1588,2.0,561.0,725.0,725,0,2007,2007,3,0,0,8,0.0,2007.0,1,0,0,0,1
226000,7,1479,2.0,558.0,1453.0,1479,0,2003,2003,2,0,1,7,167.0,2003.0,1,0,1,0,1
118000,4,1594,0.0,0.0,828.0,828,1,1910,1996,2,1,0,9,0.0,1978.7689655172412,1,0,0,1,0
300000,9,1531,3.0,700.0,1504.0,1531,0,2006,2006,2,0,1,6,122.0,2006.0,0,1,1,0,1
83000,4,1414,0.0,0.0,864.0,964,1,1922,1950,1,1,0,8,0.0,1978.7689655172412,0,1,0,1,0
204750,6,1786,2.0,684.0,824.0,905,1,1997,1997,2,0,1,7,0.0,1997.0,1,0,1,0,0
212000,8,1502,2.0,528.0,1488.0,1502,0,1985,1985,1,0,1,4,0.0,1985.0,1,0,1,0,1
139000,5,1566,2.0,450.0,816.0,816,1,1924,1950,1,0,1,7,145.0,1976.0,1,0,0,1,0
190000,6,1993,2.0,495.0,825.0,1097,1,1971,1971,2,1,0,8,252.0,1971.0,0,1,0,1,0
176000,7,1479,2.0,484.0,725.0,725,0,1981,2003,2,0,0,6,306.0,1981.0,0,1,0,0,1
190000,6,1514,2.0,394.0,794.0,819,1,2000,2000,2,1,1,7,0.0,2000.0,0,1,1,0,0
130000,5,864,1.0,312.0,864.0,864,1,1967,1967,1,1,1,5,0.0,1967.0,1,0,0,1,0
224900,7,1661,2.0,598.0,1649.0,1661,1,1998,1998,2,0,1,6,442.0,1998.0,1,0,0,0,0
187500,8,1360,2.0,565.0,1220.0,1360,0,1984,1984,1,0,0,4,0.0,1984.0,0,1,1,0,1
165000,6,1224,2.0,402.0,1224.0,1224,1,1999,1999,2,1,1,5,425.0,1999.0,1,0,1,0,0
178000,7,1342,2.0,393.0,698.0,698,0,2003,2003,2,0,1,7,0.0,2003.0,0,1,1,0,1
60000,5,1276,1.0,350.0,1276.0,1276,1,1958,1958,1,1,0,5,0.0,1958.0,1,0,0,1,0
141000,6,1215,2.0,720.0,720.0,720,1,1940,1950,1,0,0,6,0.0,1965.0,1,0,0,1,0
221300,8,1830,3.0,859.0,1302.0,1302,0,2006,2006,2,0,1,7,0.0,2006.0,1,0,0,0,1
147000,5,1122,2.0,528.0,924.0,1122,1,1948,2005,1,0,0,6,0.0,1948.0,1,0,1,1,0
217500,7,1842,2.0,486.0,985.0,985,0,2000,2000,2,0,1,7,144.0,2000.0,0,1,1,0,1
149900,5,894,2.0,552.0,894.0,894,1,1972,1972,1,1,1,5,0.0,1975.0,1,0,0,1,0
108959,4,1258,2.0,400.0,1198.0,1258,1,1969,1969,0,1,0,6,0.0,1969.0,1,0,1,0,0
187000,6,1499,2.0,473.0,781.0,795,0,1995,1995,2,0,1,6,68.0,1995.0,0,1,0,0,1
110000,4,1088,2.0,520.0,1088.0,1088,1,1963,1963,1,1,0,4,20.0,2002.0,1,0,0,1,0
75200,5,816,1.0,100.0,816.0,816,1,1922,1950,1,1,0,5,0.0,1922.0,1,0,0,1,0
144000,6,848,2.0,420.0,848.0,848,0,2003,2004,1,0,1,4,170.0,2003.0,1,0,1,0,1
109900,5,904,1.0,408.0,876.0,904,1,1966,1966,1,1,1,6,41.0,1966.0,1,0,0,1,0
271000,8,1689,3.0,857.0,1568.0,1689,0,2002,2002,2,0,1,7,148.0,2002.0,0,2,1,0,1
108000,5,672,1.0,240.0,672.0,672,1,1940,1997,1,1,1,4,0.0,1940.0,1,0,0,1,0
320000,9,1905,3.0,788.0,1905.0,1905,0,2006,2006,2,0,1,8,302.0,2006.0,0,1,0,0,0
55993,5,1044,2.0,504.0,540.0,1044,0,1952,1952,1,0,0,4,0.0,1952.0,1,0,0,1,0
188000,6,1658,2.0,431.0,773.0,773,1,1995,1996,2,1,1,8,0.0,1995.0,0,1,1,0,0
190000,5,1867,1.0,303.0,1617.0,1867,0,1955,1993,1,1,0,7,0.0,1955.0,0,3,0,1,1
410000,9,2036,3.0,780.0,2190.0,2036,0,2008,2008,2,0,0,9,246.0,2008.0,0,1,1,0,0
116000,6,1403,1.0,308.0,698.0,754,1,1915,1965,1,1,0,7,0.0,1915.0,1,0,0,1,0
102776,4,1178,1.0,384.0,859.0,859,1,1900,1950,1,1,0,7,0.0,1964.0,1,0,0,1,0
162000,6,1336,2.0,488.0,1121.0,1336,1,1958,1958,1,1,0,7,632.0,1958.0,0,1,0,1,0
221800,8,1254,3.0,810.0,1254.0,1254,0,2008,2008,2,0,1,5,140.0,2008.0,1,0,1,0,1
81000,5,1184,0.0,0.0,658.0,658,1,1910,1996,1,1,1,8,0.0,1978.7689655172412,1,0,0,1,0
337000,8,2365,3.0,856.0,1252.0,1268,0,1999,1999,2,0,1,8,673.0,1999.0,0,1,1,0,1
193000,6,1593,2.0,398.0,839.0,864,1,2004,2004,2,1,1,8,0.0,2004.0,0,1,1,1,0
254000,8,1324,2.0,550.0,1324.0,1324,0,2006,2006,2,0,1,6,176.0,2006.0,0,1,1,0,1
140750,6,1470,2.0,624.0,738.0,868,1,1922,1994,1,1,0,6,0.0,1970.0,1,0,0,0,0
165400,7,1656,2.0,397.0,746.0,760,0,2003,2004,2,0,1,7,92.0,2003.0,0,1,0,0,1
132000,5,1453,1.0,240.0,835.0,955,1,1942,1950,1,0,0,7,300.0,1942.0,0,2,0,1,0
158000,6,2119,2.0,583.0,689.0,1378,1,1972,1972,2,1,0,7,333.0,1972.0,0,1,0,1,0
127500,6,1689,2.0,480.0,1436.0,1689,1,1956,1956,1,1,0,7,0.0,1956.0,0,1,0,1,0
132000,5,1432,2.0,360.0,264.0,768,1,1910,2002,2,1,0,7,0.0,1910.0,1,0,0,0,0
235500,7,1873,2.0,597.0,988.0,988,0,1999,1999,2,0,1,7,0.0,1999.0,0,1,1,0,1
280000,7,2172,3.0,947.0,1063.0,1071,0,2006,2006,2,0,1,9,350.0,2006.0,0,1,0,0,1
176000,7,1253,2.0,402.0,1237.0,1253,1,1995,1996,2,1,1,6,38.0,1995.0,0,1,0,0,0
172500,6,1556,2.0,470.0,782.0,1019,1,1949,1950,2,1,0,6,340.0,1949.0,0,1,0,1,0
300000,8,2234,3.0,768.0,1160.0,1205,0,2000,2000,2,0,1,7,322.0,2000.0,0,1,1,0,1
139600,3,1733,2.0,452.0,0.0,1733,1,1955,1955,2,1,0,8,0.0,1955.0,0,1,0,0,0
105000,6,1242,1.0,180.0,583.0,647,1,1935,1950,1,1,0,6,0.0,1926.0,0,1,0,1,0
188700,6,1660,1.0,240.0,715.0,849,1,1934,1995,1,1,0,6,0.0,1939.0,0,1,0,1,0
192500,7,1555,2.0,430.0,1373.0,1555,0,2005,2006,2,0,1,7,16.0,2005.0,0,1,1,0,1
207500,6,1728,2.0,673.0,864.0,864,0,2003,2003,2,0,1,7,0.0,2003.0,1,0,0,0,1
137000,5,1057,1.0,288.0,1057.0,1057,1,1955,1999,1,0,0,6,164.0,1955.0,1,0,0,1,0
153575,6,1396,1.0,384.0,698.0,698,1,1915,2003,1,1,0,7,0.0,2003.0,1,0,0,1,0
200000,6,1652,2.0,510.0,1592.0,1652,1,1959,1991,1,0,0,6,136.0,1959.0,0,1,0,1,0
120000,6,1158,1.0,208.0,862.0,950,1,1929,1950,1,1,0,5,0.0,1929.0,0,1,0,1,0
210000,6,2073,2.0,500.0,1542.0,2073,1,1978,1988,2,1,0,7,119.0,1978.0,0,2,0,0,0
156500,6,1416,2.0,400.0,780.0,940,1,1900,2004,1,0,0,7,0.0,1956.0,1,0,0,1,0
234000,7,1557,2.0,420.0,1374.0,1557,0,2003,2004,2,0,1,7,18.0,2003.0,0,1,0,0,1
170000,5,1466,2.0,566.0,796.0,1096,1,1936,1989,2,0,0,7,0.0,1950.0,0,1,0,0,0
161000,5,1479,1.0,275.0,864.0,864,1,1969,1969,2,1,0,8,0.0,1969.0,1,0,0,1,0
136000,6,1040,1.0,293.0,1040.0,1040,1,1953,1953,1,1,0,6,0.0,1953.0,1,0,0,1,0
189000,7,1657,2.0,483.0,832.0,832,0,1994,1995,2,0,1,6,145.0,1994.0,1,0,1,0,1
404000,9,2020,3.0,896.0,2020.0,2020,0,2008,2008,2,0,1,7,450.0,2008.0,0,1,1,0,0
333168,9,2599,3.0,779.0,1393.0,1422,0,1999,1999,2,0,1,10,165.0,1999.0,0,1,0,0,1
207500,7,1652,2.0,532.0,782.0,782,0,2000,2000,2,0,1,6,120.0,2000.0,1,0,1,0,1
159434,5,1520,1.0,281.0,793.0,848,1,1932,2000,1,1,0,6,0.0,1968.0,1,0,0,1,0
178000,6,1571,2.0,380.0,799.0,799,0,1993,1994,2,1,1,7,0.0,1993.0,0,1,0,0,1
262500,7,2156,2.0,508.0,1568.0,2156,1,1968,2003,2,1,0,9,0.0,1968.0,0,1,0,1,0
87000,5,803,2.0,360.0,720.0,803,1,1941,1950,1,1,0,5,0.0,1941.0,1,0,0,1,0
192100,7,1851,2.0,506.0,1851.0,1851,1,1969,1969,2,1,0,8,434.0,1969.0,0,1,0,1,0
105000,3,1214,3.0,936.0,672.0,694,1,1915,1950,1,1,1,6,0.0,1998.0,1,0,0,1,0
217000,7,1753,2.0,534.0,853.0,853,0,1998,1999,2,1,1,7,290.0,1998.0,0,1,1,0,1
137500,5,1422,1.0,288.0,806.0,1081,1,1951,1951,1,1,0,7,41.0,1951.0,0,1,0,1,0
79400,4,1092,1.0,253.0,546.0,546,1,1972,1972,1,1,0,5,0.0,1972.0,1,0,0,1,0
145000,5,1721,2.0,626.0,988.0,1721,1,1960,1960,2,1,0,7,275.0,1960.0,0,2,0,1,0
194201,7,1402,3.0,648.0,1258.0,1402,0,2006,2007,0,0,1,7,72.0,2006.0,0,1,0,0,1
66500,5,1131,1.0,200.0,676.0,676,1,1941,1950,1,1,0,5,0.0,1941.0,1,0,0,1,0
188000,7,2000,3.0,650.0,996.0,996,1,1993,1994,2,1,1,9,94.0,1993.0,0,1,0,0,0
136500,5,1060,1.0,308.0,756.0,916,1,1925,1994,1,1,1,6,0.0,1969.0,0,1,0,1,0
501837,9,2234,3.0,1166.0,2216.0,2234,0,2008,2009,2,0,1,9,748.0,2009.0,0,1,1,0,0
137000,5,1654,1.0,336.0,297.0,1001,1,1930,1982,2,1,0,7,0.0,1955.0,0,1,0,1,0
132500,5,970,2.0,624.0,970.0,970,1,1963,1963,1,1,0,5,0.0,1996.0,1,0,1,1,0
125000,5,960,2.0,624.0,960.0,960,1,1958,1958,1,1,0,5,0.0,2002.0,1,0,0,1,0
133000,5,1792,2.0,480.0,896.0,896,1,1974,1974,2,1,0,8,0.0,1982.0,1,0,0,0,0
398800,9,2690,3.0,864.0,1365.0,1365,0,2009,2009,2,0,1,8,0.0,2009.0,0,1,1,0,1
160500,6,1189,2.0,392.0,1189.0,1189,1,1997,1997,2,1,1,4,197.0,1997.0,1,0,1,0,0
225000,8,1511,3.0,811.0,1401.0,1511,0,1995,1995,2,0,1,6,302.0,1995.0,0,1,1,0,1
107000,4,1669,1.0,288.0,1093.0,1093,1,1924,1950,1,1,0,9,0.0,1924.0,1,0,0,1,0
145000,5,1040,2.0,686.0,1040.0,1040,1,1968,1968,1,1,0,5,0.0,1991.0,1,0,0,1,0
140000,6,1072,2.0,525.0,547.0,1072,1,2005,2006,2,1,1,5,82.0,2005.0,1,0,1,0,0
402000,8,2448,3.0,711.0,1629.0,1686,0,1994,2005,2,0,1,8,528.0,1994.0,0,1,1,0,1
179900,7,1442,2.0,719.0,910.0,1442,0,1990,1991,2,0,1,6,0.0,1990.0,0,1,1,0,1
137900,5,2136,2.0,528.0,2136.0,2136,1,1951,1951,2,1,0,7,44.0,1951.0,1,0,0,1,0
185000,6,1188,2.0,621.0,988.0,1188,1,1956,1956,1,1,0,4,0.0,1956.0,0,1,1,1,0
247000,8,1460,2.0,480.0,1460.0,1460,0,2006,2007,2,0,1,6,99.34802631578948,2006.0,0,1,1,0,1
178000,6,1593,2.0,389.0,808.0,808,1,1992,1993,2,1,1,7,0.0,1993.0,0,1,0,0,0
89000,4,1361,1.0,185.0,173.0,825,1,1895,1950,1,1,0,6,0.0,1895.0,1,0,0,0,0
152000,5,1595,2.0,672.0,1582.0,1595,1,1991,1991,2,1,1,5,0.0,1991.0,1,0,0,0,0
115000,5,1304,1.0,336.0,264.0,616,1,1976,1976,1,1,1,4,0.0,1976.0,0,1,0,0,0
161000,6,1042,2.0,440.0,1042.0,1042,1,1965,1965,2,1,0,5,98.0,1965.0,1,0,1,1,0
133000,5,768,2.0,396.0,768.0,768,1,1972,2007,1,1,0,5,0.0,1988.0,1,0,1,0,0
138000,5,1183,1.0,288.0,528.0,1183,1,1959,1959,1,1,0,6,0.0,1959.0,1,0,1,0,0
150000,4,1620,2.0,490.0,1281.0,1620,1,1976,1993,2,1,0,8,0.0,1993.0,0,1,0,1,0
52000,3,729,0.0,0.0,270.0,729,0,1935,2003,1,1,0,5,0.0,1978.7689655172412,1,0,0,1,1
236000,7,2256,2.0,554.0,952.0,980,0,2000,2000,2,0,1,8,0.0,2000.0,0,1,1,0,1
205000,8,1370,2.0,484.0,1370.0,1370,0,2006,2006,2,0,1,6,178.0,2006.0,0,1,1,0,1
143000,6,923,1.0,264.0,923.0,923,1,1980,1980,2,1,0,5,0.0,1980.0,0,1,0,0,0
196000,7,1391,2.0,530.0,1391.0,1391,0,2004,2004,2,0,1,5,0.0,2004.0,1,0,1,0,1
466500,10,2633,3.0,804.0,2633.0,2633,0,2001,2002,2,0,1,8,705.0,2001.0,0,2,1,0,0
584500,9,3500,3.0,959.0,1733.0,1933,0,1993,1994,3,0,1,11,738.0,1993.0,0,1,0,0,1
128000,6,958,2.0,440.0,1078.0,958,1,1976,1976,2,1,0,5,0.0,1977.0,0,1,0,0,0
128500,5,816,1.0,264.0,816.0,816,1,1983,1983,1,1,0,4,0.0,1983.0,1,0,1,1,0
75000,4,572,1.0,200.0,572.0,572,1,1925,1950,1,1,0,4,0.0,1940.0,1,0,0,1,0
230000,7,1295,1.0,312.0,0.0,1295,0,1986,1986,2,0,0,5,0.0,1986.0,1,0,0,0,1
146000,6,1100,0.0,0.0,1100.0,1100,1,2006,2007,1,1,1,6,0.0,1978.7689655172412,1,0,0,0,0
229000,7,2037,2.0,472.0,672.0,1302,0,1996,1996,2,0,1,8,0.0,1996.0,0,1,0,0,1
139000,5,1092,1.0,288.0,1092.0,1092,1,1962,1962,1,1,0,6,116.0,1962.0,0,1,0,1,0
147000,7,1143,0.0,0.0,1143.0,1143,0,2006,2006,1,0,1,5,0.0,1978.7689655172412,1,0,0,0,1
130000,5,1287,2.0,440.0,624.0,624,1,1992,1992,1,1,1,6,0.0,2001.0,1,0,0,0,0
184900,7,1200,2.0,555.0,1176.0,1200,0,2003,2003,2,0,1,5,99.34802631578948,2003.0,1,0,1,0,1
93500,3,1040,2.0,400.0,0.0,1040,1,1950,1950,2,1,0,6,0.0,1949.0,1,0,0,0,0
130000,5,874,1.0,352.0,864.0,874,1,1971,2004,1,1,0,5,0.0,1971.0,1,0,0,1,0
148000,5,1534,0.0,0.0,736.0,751,1,1895,1999,1,0,0,6,0.0,1978.7689655172412,1,0,0,0,0
145000,5,1100,2.0,462.0,1100.0,1100,1,1996,1996,1,1,1,5,0.0,1996.0,1,0,0,0,0
155000,6,1575,2.0,400.0,216.0,1575,1,1951,1951,1,0,0,5,522.0,1951.0,0,1,0,1,0
165000,6,1146,1.0,294.0,1083.0,1146,1,1963,1963,1,1,0,6,379.0,1963.0,0,1,0,1,0
114000,4,1039,1.0,281.0,405.0,717,0,1900,2003,1,1,0,6,0.0,1940.0,1,0,0,0,1
94900,4,988,1.0,297.0,462.0,526,1,1973,1973,1,1,0,4,0.0,1973.0,0,1,1,0,0
136500,5,1050,1.0,368.0,1050.0,1050,1,1961,1961,1,1,0,6,0.0,1961.0,1,0,0,1,0
160000,6,1116,2.0,440.0,1116.0,1116,1,1962,1962,1,1,0,5,261.0,1962.0,1,0,0,1,0
167000,6,1644,2.0,418.0,1416.0,1644,1,1953,1953,1,1,0,7,238.0,1953.0,0,2,1,1,0
313000,9,2153,3.0,736.0,1440.0,1476,0,2000,2000,2,0,1,8,204.0,2000.0,0,2,1,0,1
213000,7,1932,2.0,610.0,979.0,992,0,2003,2003,2,0,1,7,0.0,2003.0,0,1,1,0,1
157000,7,1601,2.0,478.0,1271.0,1601,1,1978,1978,2,1,0,7,206.0,1978.0,0,1,0,0,0
163500,5,964,2.0,432.0,876.0,964,1,1921,2006,1,1,0,5,0.0,1921.0,1,0,0,0,0
264500,8,1836,2.0,517.0,1836.0,1836,0,2008,2009,2,0,1,8,288.0,2009.0,0,1,0,0,1
